,Unnamed: 0,rates
0,AED,3.66
1,AFN,88.2
2,ALL,117.15
3,AMD,403.43
4,ANG,1.8
5,AOA,427.14
6,ARS,137.2
7,AUD,1.44
8,AWG,1.79
9,AZN,1.7
10,BAM,1.95
11,BBD,2.01
12,BDT,94.76
13,BGN,1.96
14,BHD,0.38
15,BIF,2040.96
16,BMD,1.0
17,BND,1.39
18,BOB,6.91
19,BRL,5.05
20,BSD,1.0
21,BTC,0.0
22,BTN,79.6
23,BWP,12.7
24,BYN,2.52
25,BYR,19532.6
26,BZD,2.01
27,CAD,1.3
28,CDF,2014.05
29,CHF,0.96
30,CLF,0.03
31,CLP,890.08
32,CNY,6.85
33,COP,4382.95
34,CRC,629.71
35,CUC,1.0
36,CUP,26.41
37,CVE,110.72
38,CZK,24.62
39,DJF,177.11
40,DKK,7.44
41,DOP,52.97
42,DZD,140.32
43,EGP,19.12
44,ERN,14.95
45,ETB,52.22
46,EUR,1.0
47,FJD,2.21
48,FKP,0.82
49,GBP,0.85
50,GEL,2.82
51,GGP,0.82
52,GHS,9.94
53,GIP,0.82
54,GMD,54.12
55,GNF,8695.0
56,GTQ,7.72
57,GYD,208.65
58,HKD,7.82
59,HNL,24.54
60,HRK,7.51
61,HTG,126.16
62,HUF,411.61
63,IDR,14801.53
64,ILS,3.24
65,IMP,0.82
66,INR,79.68
67,IQD,1454.98
68,IRR,42204.38
69,ISK,140.72
70,JEP,0.82
71,JMD,150.37
72,JOD,0.71
73,JPY,137.19
74,KES,119.59
75,KGS,80.41
76,KHR,4095.87
77,KMF,492.45
78,KPW,896.91
79,KRW,1337.57
80,KWD,0.31
81,KYD,0.83
82,KZT,473.49
83,LAK,15247.39
84,LBP,1516.41
85,LKR,354.04
86,LRD,153.02
87,LSL,16.81
88,LTL,2.94
89,LVL,0.6
90,LYD,4.91
91,MAD,10.55
92,MDL,19.26
93,MGA,4105.83
94,MKD,61.35
95,MMK,2094.4
96,MNT,3183.98
97,MOP,8.06
98,MRO,355.77
99,MUR,43.99
100,MVR,15.3
101,MWK,1015.5
102,MXN,19.96
103,MYR,4.45
104,MZN,63.61
105,NAD,16.81
106,NGN,420.75
107,NIO,35.84
108,NOK,9.75
109,NPR,127.36
110,NZD,1.62
111,OMR,0.38
112,PAB,1.0
113,PEN,3.81
114,PGK,3.5
115,PHP,55.99
116,PKR,219.89
117,PLN,4.74
118,PYG,6847.01
119,QAR,3.63
120,RON,4.87
121,RSD,117.31
122,RUB,60.1
123,RWF,1030.44
124,SAR,3.74
125,SBD,8.22
126,SCR,13.2
127,SDG,576.51
128,SEK,10.65
129,SGD,1.39
130,SHP,1.37
131,SLL,14006.67
132,SOS,568.54
133,SRD,24.64
134,STD,20626.81
135,SVC,8.73
136,SYP,2503.89
137,SZL,16.81
138,THB,36.08
139,TJS,10.15
140,TMT,3.49
141,TND,3.19
142,TOP,2.34
143,TRY,18.1
144,TTD,6.77
145,TWD,30.19
146,TZS,2325.78
147,UAH,36.83
148,UGX,3794.84
149,USD,1.0
150,UYU,40.31
151,UZS,10892.42
152,VND,23336.48
153,VUV,115.66
154,WST,2.66
155,XAF,653.18
156,XAG,0.05
157,XAU,0.0
158,XCD,2.69
159,XDR,0.76
160,XOF,653.25
161,XPF,119.74
162,YER,249.39
163,ZAR,16.83
164,ZMK,8970.25
165,ZMW,16.11
166,ZWL,320.89
